Sr.No,COLLEGE/UNIVERSITY,                                             Undergraduate  Course,Post Graduate Course,WEBISTE,
1,Savitribai Phule Pune University,Bachelor of Laws LL.B.Bachelor of Laws FiveYearBachelor of Social Legal Science,,http://www.unipune.ac.in/,
1,Savitribai Phule Pune University,Bachelor of Pharmacy B.Pharm.,,http://www.unipune.ac.in/,



2,Bharati Vidyapeeth Deemed University,"Bachelor of Science Bachelor of Science  Nursing,P.B. Bachelor of Science Post Basic Bachelor of Science Nursing", Master of Architecture Sustainable Architecture),https://www.bvuniversity.edu.in/,
,,"B. Pharm Bachelor of Pharmacy,B.H.M.S. Bachelor of Homoeopathic Medicine and Surgery",MD Physiology),,
,,"Bachelor of Science Bachelor of Science Biotechnology,BPES Bachelor Of Physical Education & Sports",MD Biochemistry),,
,,"B.P.Ed. Bachelor of Physical Education,BDS Bachelor of Dental Surgery",MD Pathology),,
,," Bachelor of Architecture,BAMS Bachelor of Ayurvedic Medicine and Surgery",MD Microbiology),,
,,"Bachelor of Technology. Chemical Engineering,Bachelor of Technology. Civil Engineering",MD Pharcology) ,,
,,"Bachelor of Technology. Computer Engineering,Bachelor of Technology Computer Science and Engineering", Master of Science Nursing),,
,,"Bachelor of Technology. Electronics and Communication Engineering,Bachelor of Technology. Electronics and Telecommunications Engineering",M.D. Community Medicine) ,,
,,"Bachelor of Technology. Information Technology,Bachelor of Technology. Mechanical Engineering",MD General Medicine) ,,
,,"Bachelor of Technology. Robotics and Automation,Bachelor of Business Bachelor of Business Administration",MD Paediatrics) ,,
,,"BCA Bachelor of Computer Applications,Bachelor of Laws Bachelor of Arts Legislative Law",MD Respiratory Medicine),,
,,"LLB Bachelor of Laws,MBBS Bachelor of Medicine and Bachelor of Surgery","MD Dertology, Venereology & Leprosy)",,
,,"Bachelor of Business LLB Bachelor of Business Administration LLB,BHMCT Hotel Management & Catering Technology",MD Radio-diagnosis) ,,
,,"Bachelor of Science H & HA Bachelor’s in Science Hospitality & Hotel Administration,BA Bachelor of Arts",MD Anesthesiology) ,,
,,"BA Dance Bachelor of Arts,BA Music Bachelor of Arts",MD Emergency Medicine),,
,,"Bachelor of Commerce Bachelor of Commerce,Bachelor of Science  Bachelor of Science",MD Immuno-Hetology & Blood Transfusion),,
,,"Bachelor of Science  Bachelor of Science Computer Science,Bachelor of ArtsSLP Bachelor in Audiology and Speech Language Pathology",MS General Surgery) ,,
,,"Bachelor in Clinical Optometry B.Optometry,Bachelor of Technology. Computer Science and Business Systems",MS Orthopaedics) ,,
,,"Bachelor of Commerce Bachelor of Commerce ,Bachelor in Clinical Optometry B.Optometry Lateral entry ",MS Ophthalmology) ,,
,,"Bachelor of Arts Commercial Photography,Bachelor of Arts Photography & Cinematography",MS Oto-Rhino-Laryngology) ,,
,,"Bachelor of Technology Computer Science and Engineering AI,ML,Bachelor of Fashion Arts  Applied Arts BFA",MS Obstetrics & Gynaecology) ,,
,,Bachelor of Painting  BFAPGMD Anatomy,DM Cardiology),,
,,,DM Critical Care Medicine) ,,
,,,DM Neonatology) ,,
,,,MSW  Master of Social Work),,
,,,DM Medical Gastroenterology) ,,
,,,M.Ch. Urology) ,,
,,,M. Pharm Drug Regulatory Affairs),,
,,,M. Ch. Paediatrics Surgery) ,,
,,,M. Pharm Pharceutical Biotechnology),,
,,,M. Pharm Pharceutical Chemistry),,
,,,M. Pharm Pharceutics),,
,,,M. Pharm Pharcognosy),,
,,,M. Pharm Quality Assurance Technique),,
,,, Master of Science Medical Anatomy),,
,,, Master of Science Medical Physiology),,
,,, Master of Science Medical Biochemistry),,
,,, Master of Science Medical Microbiology),,
,,, Master of Science  in Geoinfortics,,
,,, Master of Science Medical Pharcology),,
,,, Master of Science in Wildlife Conservation Action,,
,,, Master of Science Biotechnology),,
,,, Master of Science Medical Biotechnology),,
,,, Master of Science Bioinfortics),,
,,,M.P.Ed.  Master of Physical Education ),,
,,,MD Ayurveda),,
,,,MS Ayurveda),,
,,, Master of Technology. Chemical Engineering),,
,,, Master of Technology. Water Resource Engineering),,
,,, Master of Technology. Computer Engineering),,
,,, Master of Technology. Electrical Engineering – Power Systems),,
,,, Master of Technology. Infortion Technology),,
,,, Master of Technology. Mechanical Engineering CAD/CAM)),,
,,, Master of Technology. Nanotechnology),,
,,, Master of Business Administration  Master of Business Administration),,
,,, Master of Business Administration  Master of Business Administration) HR,,
,,,MCA  Master of Computer Application),,
,,,LLM  Master of Laws),,
,,,MDS Prosthodontics and Crown & Bridge),,
,,,MDS Periodontology),,
,,,MDS Oral & xillofacial Surgery),,
,,,MDS Orthodontics & Dentofacial Orthopaedics),,
,,,MDS Oral Pathology & Microbiology),,
,,,MDS Conservative Dentistry and Endodontics),,
,,,MDS Oral Medicine & Radiology),,
,,,MDS Pedodontics & Preventive Dentistry),,
,,,MD Ayurveda Ayurved Vachaspati) ,,
,,, Master of Optometry M.Optom.),,
,,, Master of Science Environment Science and Technology,,
,,,MD Homeopathy),,
,,, Master of Commerce  Masters in Commerce),,
,,, Dance),,
,,, English,,
,,, Music),,
,,, Master of Science in Audiology  Master of Science in Audiology),,
,,,MHA  Master of Hospital Administration),,
,,,Post GraduateDHM Post Graduate Diploma in Hospital nagement),,
,,,Post GraduateDDM Post graduate Diploma in Disaster nagement),,
,,,Post GraduateDHPD Post graduate Diploma in Hospital Planning and Design),,
,,,Post GraduateDHEM Post graduate Diploma in Health Event nagement),,
,,, Master of Science in Speech Language Pathology  Master of Science in Speech Language Pathology),,
,,, . Commercial Photography & Cinetography,,
,,,Bachelor's In Physiotherapy,,
,,,M. Pharm Industrial Pharcy),,
,,,Pharm D. Doctor of Pharcy) PB),,
,,,M. Pharm Pharcology) Doctor of Philosophy Course-Doctor of Philosophy. Medical Anatomy),,
,,,Doctor of Philosophy. Medical Physiology),,
,,,Doctor of Philosophy. Medical Biochemistry),,
,,,Doctor of Philosophy. Medical Microbiology) ,,
,,,Doctor of Philosophy. Pharcology) ,,
,,,Doctor of Philosophy. in Geoinfortics,,
,,,Doctor of Philosophy. Biotechnology),,
,,,Doctor of Philosophy. Microbiology),,
,,,Doctor of Philosophy. Nursing),,
,,,Doctor of Philosophy. Physical Education),,
,,,Doctor of Philosophy. Ayurveda),,
,,,Doctor of Philosophy. Chemical Engineering),,
,,,Doctor of Philosophy. Computer Engineering),,
,,,Doctor of Philosophy. Electrical Engineering),,
,,,Doctor of Philosophy. Electronics Engineering),,
,,,Doctor of Philosophy. Mechanical Engineering - CAD/CAM),,
,,,Doctor of Philosophy. nagement Studies),,
,,,Doctor of Philosophy. Computer Applications),,
,,,Doctor of Philosophy. Law) Law,,
,,,Doctor of Philosophy. Pharceutics),,
,,,Doctor of Philosophy. Biochemistry),,
,,,Doctor of Philosophy. Interdisciplinary Sciences),,
,,,Doctor of Philosophy in Environment Science,,
,,,Doctor of Philosophy Homeopathy),,
,,,Doctor of Philosophy. in Audiology),,
,,,Doctor of Philosophy Community Medicine),,
,,,Doctor of Philosophy. in Hospital Administration ,,
,,,Doctor of Philosophy. in Speech Language Pathology),,
,,,Doctor of Philosophy. Quality Assurance Techniques) ,,
,,,Doctor of Philosophy. Drug Regulatory Affairs),,
,,,Doctor of Philosophy. Pharcognosy),,
,,,Doctor of Philosophy. Pharcy Practice),,
,,,Doctor of Philosophy - Doctor of Philosophy,,
,,,Diploma Courses:Post GraduateDC Post Graduate Diploma in Counselling),,
,,,Post GraduateDCSR Post Graduate Diploma in Corporate Social Responsibility),,
,,,DEE Diploma In Environment Education),,
,,,D.Y.Ed Diploma in Yoga Education),,
,,,Post GraduateDB Post Graduate Diploma in Balroga),,
,,,Post GraduateDD Post Graduate Diploma in Dertology),,
,,,Post GraduateDGO  Post Graduate Diploma in Gynaecology & Obstetrics),,
,,,Post GraduateDN Post Graduate Diploma in Netrarog),,
,,,Post GraduateDP Post Graduate Diploma in Panchakar),,
,,,DL Diploma in Law),,
,,,DNYS Diploma in Naturopathy and Yogic Science),,
,,,Post Graduate DMLT Diploma in Medical Laboratory Technology),,
,,,Diploma in Kirtan Naradiya & Varakary Styles,,
,,,DHR Diploma in Hun Rights),,
,,,Doctor of Philosophy. MUSIC / DANCE,,
,,,DDM Diploma in Digital rketing),,
,,,DBD Diploma in Big Data),,
,,,DTL Diploma in Taxation Law),,
,,,DLL & LW Diploma in Labour Laws & Labour Welfare),,
,,,DIPL Diploma in Intellectual Property Law),,
,,,DCL Diploma in Corporate Law),,
,,,DCyL Diploma in Cyber Law),,
,,,Advanced Diploma in Bioinfortics,,


3,MIT World Peace University (MIT-WPU),Bachelor of Technology Mechanical Engineering, Master of Technology Chemical Engineering,https://mitwpu.edu.in/,
,,Bachelor of Technology Mechanical Engineering Robotics and Automation, Master of Technology Petroleum Engineering,,
,,Bachelor of Technology Chemical Engineering, Masters of Technology Civil Engineering Construction Engineering and nagement),,
,,Bachelor of Technology Bioengineering, Master of Technology by Research in Environment Engineering,,
,,Bachelor of Technology Materials Science and Engineering, Master of Technology Electronics and Communication Engineering VLSI and Embedded Systems),,
,,Bachelor of Technology Electronics and Communication Engineering, Master of Technology by Research in e-Mobility,,
,,Bachelor of Technology Electronics and Communication Engineering Artificial Intelligence and Machine Learning, Master of Technology Computer Science and Engineering Data Science And Analytics),,
,,Bachelor of Technology Electrical and Computer Engineering, Master of Science Computer Science,,
,,Bachelor of Technology Petroleum Engineering, Master of Science Data Science and Big Data Analytics,,
,,Bachelor of Technology Computer Science and Engineering, Master of Technology Computer Science and Engineering Cyber Security),,
,,Bachelor of Technology Computer Science and Engineering Artificial Intelligence and Data Science, Master of Science Blockchain Technology,,
,,Bachelor of Technology Computer Science and Engineering Computer Science and Business Systems,MCA Science,,
,,Bachelor of Technology Computer Science and Engineering Cyber Security and Forensics, Master of Commerce,,
,,Integrated Bachelor of Technology in Computer Science and Engineering, Master of Science Economics,,
,,Integrated Bachelor of Technology in Computer Science and Engineering Artificial Intelligence and Data Science, Master of Science Environment Science,,
,,Integrated Bachelor of Technology in Mechanical Engineering, Political Leadership and Government,,
,,Integrated Bachelor of Technology in Mechanical Engineering Robotics and AutomationIntegrated Bachelor of Technology in Civil Engineering Smart Infrastructure and Construction,M.Pharm Pharceutical Chemistry,,
,,Integrated Bachelor of Technology in Electronics and Communication Engineering Artificial Intelligence and Machine Learning,M.Pharm Pharceutics,,
,,Bachelor of Technology 2nd Year Lateral Entry After 3 Years of Diploma in Engineering,M.Pharm Pharceutical Quality Assurance,,
,,Integrated Bachelor of Technology DSY After 12th Standard,M.Pharm Pharcology,,
,,BFA Bachelor of Fine arts,M.Pharm Pharcognosy,,
,,"Bachelor of Science Computer Science,Bachelor of Science Data Science and Big Data Analytics",M.Pharm Pharceutical Analysis,,
,,BCA Science, Master of Public Health,,
,,Bachelor of Commerce International Accounting and Finance in collaboration with ACCA, Master of Science Yoga and Meditation),,
,,Bachelor of Commerce Advanced Accounting and Auditing, Master of Science Clinical Psychology,,
,,Bachelor of Science Economics,Master of Fine Arts Applied Arts) With Emphasis On Research,,
,,Bachelor of Science Business Economics, English),,
,,BA Government and Administration, Psychology),,
,,"B.Pharm,B.Pharm 2nd Year Lateral Entry After 2 Years Pharmacy Diploma", Master of Education  Master of Engineeringd.)/ Media & Communication,,
,,Pharm. D Doctor of Pharmacy,LL.M.,,
,,Bachelor of Science Computational Mathematics and Statistics, Master of Business Administration Dual Specialization,,
,,B.Des. Product Design, Master of Business Administration International Business,,
,,B.Des. User Experience Design, Master of Business Administration rketing,,
,,B.Des. Visual Communication Design, Master of Business Administration Finance,,
,,B.Des. in Interior and Space Design, Master of Business Administration Hun Resource nagement,,
,,BFA Applied Arts, Master of Business Administration Operations and Supply Chain nagement,,
,,BA English, Master of Business Administration Banking and Financial Services,,
,,BA Psychology, Master of Business Administration Digital rketing,,
,,BA Political Science, Master of Business Administration Business Analytics,,
,,BA Liberal Arts, Master of Business Administration Agri Business nagement,,
,,Bachelor of Education Bachelor of Engineeringd.,MCA nagement,,
,,BA Photography, Master of Science Biotechnology/ Master of Science Microbiology,,
,,BA Media & Communication, Master of Science Physics With specialisation In Photonics/Astro Physics Computational Physics/Devices and Design),,
,,BA Film Making, Master of Science Chemistry,,
,,LL.B., Master of Science thetics,,
,,Bachelor of Business LL.B.  Hons, Master of Science Statistics,,
,,BA LL.B. Hons, Master of Technology Civil Engineering Structural Engineering),,
,,Bachelor of Business, Master of Technology Civil Engineering Tunnel Engineering),,
,,Bachelor of Business Entrepreneurship and Family Business Management, Master of Technology Mechanical Engineering CAD/CAM/CAE),,
,,Bachelor of Business Global Business & Management, Master of Technology Mechanical Engineering Design Engineering),,
,,Bachelor of Business Branding and Advertising, Master of Technology Mechanical Engineering Therl Engineering),,
,,Bachelor of Business Digital Marketing, Master of Design in Industrial Design,,
,,Bachelor of Business International Business,Executive  Master of Business Administration ,,
,,Bachelor of Business Global Marketing and Event Management,Doctor of Philosophy Programme,,
,,Bachelor of Business Banking Finance and Insurance,Doctor of Philosophy. in Chemical Engineering,,
,,Bachelor of Business Business AnalyBachelor of Business Global eBusiness,Doctor of Philosophy. in Mechanical Engineering,,
,,Bachelor of Business Human Resources Management,Doctor of Philosophy. in Business Administration ,,
,,Integrated Business Management,Doctor of Philosophy. in Civil Engineering,,
,,Bachelor of Business Hospitality and Hotel Administration,Doctor of Philosophy. in Electronics and Communication Engineering,,
,,"Bachelor of Science Integrated M.Sc. Biotechnology,Bachelor of Science Physics With specialisation in Computational Physics,Astrophysics,Laser Technology",Doctor of Philosophy. in Computer Engineering,,
,,Bachelor of Science Chemistry,Doctor of Philosophy. in thetics,,
,,Bachelor of Science Applied Statistics and Data Analytics,Doctor of Philosophy. in Physics,,
,,B.Des. Fashion and Apparel Design,Doctor of Philosophy in Pharcy,,
,,,Doctor of Philosophy. in Consciousness Studies,,
,,,Doctor of Philosophy. in Computer Science,,
,,,Doctor of Philosophy. in Public Health,,
,,,Doctor of Philosophy. in Biotechnology,,
,,,Doctor of Philosophy. in Biochestry,,
,,,Doctor of Philosophy. in crobiology,,
,,,Doctor of Philosophy. in Econocs,,
,,,Doctor of Philosophy. in Law,,
,,,Doctor of Philosophy. in Chestry,,
,,,Doctor of Philosophy. in Commerce,,
,,,Doctor of Philosophy. in Education,,
,,,Doctor of Philosophy. in Design,,
,,,Doctor of Philosophy. in English,,
,,,Doctor of Philosophy. in Sociology,,
,,,Doctor of Philosophy. in Petroleum Engineering,,
,,,Doctor of Philosophy. in Visual Arts,,
,,,Doctor of Philosophy. in Sustainability Studies,,
,,,Doctor of Philosophy Programmes with ARAI,,

4,COEP Technological University,Bachelor of Technology Metallurgy and Materials Technology, Master of Technology Automotive Technology,https://www.coep.org.in/,
,,Bachelor of Technology Electrical Engineering,M.Plan Town and Country Planning,,
,,Bachelor of Technology Civil Engineering, Master of Business Administration,,
,,B.Plan, Master of Technology Transportation Engineering,,
,,"Bachelor of Engineering ,Bachelor of Technology", Master of Technology Power Electronics and chine Drives,,
,,Bachelor of Technology Instrumentation and Control Engineering, Master of Technology Inortion Security,,
,,, Master of Technology Construction nagement,,
,,, Master of Technology Signal Processing,,
,,, Master of Technology Geotechnical Engineering,,
,,, Master of Technology Therl Engineering,,
,,, Master of Technology Wired and Wireless Communication,,


5,Fergusson College,Bachelor of Arts specialization in Economics,Master of Science in Biotechnology,https://www.fergusson.edu/,
,,Bachelor of Arts specialization in English,Master of Science in Botany,,
,,Bachelor of Arts specialization in French,Master of Science in Chemistry,,
,,Bachelor of Arts specialization in German,Master of Science in Computer Science,,
,,Bachelor of Arts specialization in Hindi,Master of Science in Electronic Science,,
,,Bachelor of Arts specialization in History,Master of Science in Environmental Science Geology,,
,,Bachelor of Arts specialization in Marathi,Master of Science in Mathematics,,
,,Bachelor of Arts specialization in Philosophy,Master of Science in Microbiology,,
,,Bachelor of Arts specialization in Political Science,,,
,,Bachelor of Arts specialization in Psychology,,,
,,Bachelor of Arts specialization in Sanskrit,,,
,, Bachelor of Science in Animation,,,
,,Bachelor of Science in Biotechnology,,,
,,Bachelor of Science in Botany,,,
,,Bachelor of Science in Chemistry,,,
,,Bachelor of Science in Computer Science,,,
,,Bachelor of Science in Electronic Science,,,
,,Bachelor of Science in Environmental Science Geology,,,
,,Bachelor of Science in Mathematics,,,
,,Bachelor of Science in Microbiology,,,
,,Bachelor of Science in Physics,,,
,,Bachelor of Science in Statistics,,,
,,Bachelor of Science in Zoology,,,

6,Dr. D. Y. Patil Institute of Technology,Bachelor of Engineering specialization in Civil Engineering,Master of Engineering specialization in Civil Engineering Construction and Master of Engineering specialization in Computer Engineering,https://engg.dypvp.edu.in/,
,,Bachelor of Engineering specialization in Computer Engineering,Master of Engineering specialization in Electronics and Telecommunication Communication Network),,
,,Bachelor of Engineering specialization in Electrical Engineering,Mechanical Engineering specialization in Design Engineering,,
,,Bachelor of Engineering specialization in Electronics and Telecommunication Engineering,,,
,,Bachelor of Engineering specialization in Instrumentation Engineering,,,
,,Bachelor of Engineering specialization in Mechanical Engineering,,,
,,Bachelor of Engineering specialization in Information Technology,,,
,,Bachelor of Engineering specialization in Artificial Intelligence & Data Science ,,,
,,Bachelor of Engineering specialization in Automation and Robotics,,,


7,St. Mira's College For Girls,Bachelor of Commerce specialize in Banking & Finance Entrepreneurial Development, specialization in Sociology,https://www.stmirascollegepune.edu.in/,
,,Bachelor of Arts specialize in Economics, specialization in English,,
,,Bachelor of Arts specialize in Sociology, specialization in Economics,,
,,Bachelor of Arts specialize in English,Master Of Commerce specialization in Business Administration,,
,,Bachelor of Arts specialize in Psychology General,Master Of Commerce specialization in Accountancy & Taxation.,,
,,Bachelor of Computer Science,Master of Science specialization Computer Science,,
,,Bachelor of Business Administration,Doctor of Philosophy in Women's Studies,,
,,Bachelor of Business Administration Computer Applications,,,

8,"Modern College of Arts, Science and Commerce",Bachelor of Business,Master of Commerce,http://moderncollegepune.edu.in/,
,,Bachelor of Commerce,Master of Science,,
,,Bachelor of Arts Bachelor of Computer Application,,,
,,Bachelor of Business Management,,,
,,Bachelor of Science,,,

9,Maharashtra Institute of Technology,Bachelor of Engineering specialization in Civil Engineering,Master of Commerce,https://mitpune.ac.in/,
,,Bachelor of Engineering specialization in Computer Engineering,Master of Science,,
,,Bachelor of Business,,,
,, Bachelor of Commerce,,,
,, Bachelor of Computer Application,,,
,, Bachelor of Science,,,

10,Tilak Maharashtra Vidyapeeth,Bachelor of Law Bachelor of Laws, Master of Science,https://www.tmv.edu.in/,
,,Bachelor of Social Work [BSW],Post Graduate Diplo in Yoga Therapy,,
,,Bachelor of Computer Application [BCA]Bachelor of Journalism [BJ] Print Media,Diploma in Engineering Polytechnic),,
,,Bachelor of Business Administration ,Diploma in Film king,,
,,Bachelor of Commerce [Bachelor of Commerce]Bachelor of Science [B.Sc], Master of Computer Applications,,
,,Bachelor of Hotel Management and Catering Technology [BHMCT],Master of Journalism Print Media),,
,,Bachelor of Physiotherapy [BPT],Advanced Certificate in Digital Photography,,
,,Bachelor of Arts + Bachelor of Laws ,,,

,,,Master of Technology  Computer Science Engineering - IT,https://www.vit.edu/,
11,Vishwakarma Institute of Technology,Bachelor of Technology in Chemical Engineering,Master of Technology  Electronics & Telecommunication Engineering,,
,,Bachelor of Technology in Instrumentation & Control Engineering,Master of Technology  Mechanical - Design Engineering,,
,,Bachelor of Technology in Mechanical Engineering Artificial Intelligence ,,,
,,Bachelor of Technology in Data Science,,,

12,Ajeenkya DY Patil University,Bachelor of Business – Agri Business Management, Master of Business Administration in Banking and Financial Services,https://adypu.edu.in/,
,, Bachelor of Business – Financial Market,  Master of Business Administration in Media and Entertainment,,
,, Bachelor of Business – Decision Science, Master of Business Administration in Business Innovation & Strategy,,
,, Bachelor of Business Specialization :,  Master of Business Administration in Human Resource,,
,,1. Entrepreneurship,  Master of Business Administration in Aviation Management,,
,,2. Sales & Marketing,  Master of Business Administration in Business Analytics,,
,,3. Finance,  Master of Business Administration in Hospitality Management,,
,,Bachelor of Business Banking and Financial Services,  Master of Business Administration in Marketing,,
,, Bachelor of Commerce – Accounting Analytics, Master of Business Administration in Ecommerce,,
,, Bachelor of Commerce – Financial Intelligence and Business Analytics,Master of Business Administration in Logistics & Supply chain Management collaboration with  ESG France,,
,,Bachelor of BusinessBachelor of Business Fintech,  Master of Business Administration in Data Science and Artificial Intelligence collaboration with  Master of Business Administration in ESG France,,
,, Bachelor of Business – Entrepreneurship & Innovation,  Master of Business Administration in Sports Management collaboration with ESG France,,
,, Bachelor of Business – Sales & Marketing,  Master of Business Administration in International Business collaboration with  ESG France,,
,, Bachelor of Business Aviation Management,Master of Computer Application  – Cloud Technology,,
,, Bachelor of Business International Business,Master's Degree Automobile Design,,
,, Bachelor of Business Sport ManagementB. Tech – Block Chain,Master of Design UI  UX,,
,,Bachelor of Technology  Cloud Technology And Information Security,Post Graduate Diploma Digital Modelling,,
,,Bachelor of Technology Mobile Application & Cloud Technology," Master of Science  in Hospitality and Tourism Management, Master of Technology ARTIFICIAL INTELLIGENCE",,
,, Bachelor of Technology – IT Data Science, Master of Technology BIOMEDICAL ENGINEERING,,
,, Bachelor of Computer Applications BCA), Master of Technology MECHANICAL ENGINEERING,,
,,Bachelor of Computer Application – Data science.                                       , Master OF COMPUTER APPLICATIONS,,
,,Bachelor of science in Hospitality & Hotel Administration Specialization,Master of Science in  CLINICAL RESEARCH,,
,,Bachelor of Computer Application Internet Of Things IOT), Master of Technology in  DIGITAL HEALTH AND INNOVATION,,
,, BCA Cloud Technology And Information SecurityCT & IS), Master of Technology SPACE SCIENCE & ENGINEERING,,
,,BCA Mobile Application & Cloud TechnologyB.DesUIUXBachelor of Technology ARTIFICIAL INTELLIGENCE AND DATA SCIENCEBachelor of Technology COMPUTER SCIENCE AND ENGINEERINGBachelor of Technology ROBOTICS AND AUTOMATION, Master of Technology AEROSPACE ENGINEERING,,
,,Bachelor of Technology BIOMEDICAL ENGINEERING,,,
,,Bachelor of Technology BIOTECHNOLOGY,,,
,,Bachelor of Technology MECHANICAL ENGINEERING,,,
,,Bachelor of Technology INFORMATION TECHNOLOGY,,,
,,BACHELOR OF COMPUTER APPLICATIONS,,,
,,Bachelor of Technology CONSUMER TECHNOLOGY,,,
,,Bachelor of Technology AERONAUTICAL ENGINEERING,,,
,,Bachelor of Technology AEROSPACE ENGINEERING,,,
,,Bachelor of Technology AVIONICS ENGINEERING,,,
,,Bachelor of Technology + Master of Technology AEROSPACE ENGINEERING DUAL DEGREE,,,
,,Bachelor's Degree in Fashion Design,,,
,,Bachelor's Degree in Product Design,,,
,,  Bachelor's Degree in Visual Communication Design,,,
,,Bachelor's Degree in Automobile Design,,,
,,Bachelor of Science Hospitality and Hotel Administration,,,

13,Symbiosis International University,Bachelor of Science Medical Technology,Post Graduate  in Emergency Medical Services in Biomedical Instrumentation,https://www.siu.edu.in/,
,,Bachelor of Science RadiotherapyBachelor of Science Radiotherapy,Master of Science in Economics,,
,,Bachelor of Science Economics HonoursBachelor of Science Nursing,Master of Science Nursing,,
,, BA Visual Arts and Photography,Master of Science Applied Statistics,,
,,Bachelor of Science Medical Technology,Doctor of Philosophy,,
,,Bachelor of Science Radiotherapy,Executive Post Graduate  in Business Management,,
,,,Executive Post Graduate  in Marketing Management,,
,,,Executive Post Graduate  in HR Management,,
